Name,id,brewery_id,cat_id,style_id,Alcohol By Volume,International Bitterness Units,Standard Reference Method,Universal Product Code,filepath,Description,add_user,last_mod,Style,Category,Brewer,Address,City,State,Country,Coordinates,Website,lat,long,IBU,ABV,beer_id,beer_name,name_abv,name_ibu
Pils,1646,570,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Gatz Brauhaus,"",Dsseldorf,Nordrhein-Westfalen,Germany,"51.2249,6.7757","",51.2249,6.7757,0,0,"Name: Pils, Brewery: Gatz Brauhaus, ABV: 0, IBU: 0",Name: Pils,ABV: 0,IBU: 0
Dark Lager,1724,1102,7,86,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,German-Style Schwarzbier,German Lager,San Miguel Corporation,PO Box 271,Manila,"",Philippines,"14.5833,120.967","",14.5833,120.967,0,0,"Name: Dark Lager, Brewery: San Miguel Corporation, ABV: 0, IBU: 0",Name: Dark Lager,ABV: 0,IBU: 0
Golden Blonde,1850,636,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Harvest Moon Brewery / Cafe,392 George Street,New Brunswick,New Jersey,United States,"40.4962,-74.4441","",40.4962,-74.4441,0,0,"Name: Golden Blonde, Brewery: Harvest Moon Brewery / Cafe, ABV: 0, IBU: 0",Name: Golden Blonde,ABV: 0,IBU: 0
Schwarzbier,1865,652,7,86,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,German-Style Schwarzbier,German Lager,Hereford & Hops Steakhouse and Brewpub #3,2201 Sherman Street,Wausau,Wisconsin,United States,"44.9518,-89.6657","",44.9518,-89.6657,0,0,"Name: Schwarzbier, Brewery: Hereford & Hops Steakhouse and Brewpub #3, ABV: 0, IBU: 0",Name: Schwarzbier,ABV: 0,IBU: 0
Honey Wheat,1909,607,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota,United States,"44.9467,-93.097","",44.9467,-93.097,0,0,"Name: Honey Wheat, Brewery: Great Waters Brewing Company, ABV: 0, IBU: 0",Name: Honey Wheat,ABV: 0,IBU: 0
Light,3229,1365,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Wild River Brewing and Pizza - Cave Junction,249 North Redwood Highway,Cave Junction,Oregon,United States,"42.1707,-123.645","",42.1707,-123.645,0,0,"Name: Light, Brewery: Wild River Brewing and Pizza - Cave Junction, ABV: 0, IBU: 0",Name: Light,ABV: 0,IBU: 0
Alexander Alt,3503,92,3,38,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Brown Ale,North American Ale,Beach Chalet Brewery,1000 Great Highway,San Francisco,California,United States,"37.7694,-122.51","",37.7694,-122.51,0,0,"Name: Alexander Alt, Brewery: Beach Chalet Brewery, ABV: 0, IBU: 0",Name: Alexander Alt,ABV: 0,IBU: 0
Porter,3515,1029,2,25,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Porter,Irish Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California,United States,"47.5917,-122.335","",47.5917,-122.335,0,0,"Name: Porter, Brewery: Pyramid Alehouse, Brewery and Restaurant - Berkeley, ABV: 0, IBU: 0",Name: Porter,ABV: 0,IBU: 0
Mountain Wheat,3739,236,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado,United States,"39.7236,-105.001",http://www.breckbrew.com/,39.7236,-105.001,0,0,"Name: Mountain Wheat, Brewery: Breckenridge Brewery, ABV: 0, IBU: 0",Name: Mountain Wheat,ABV: 0,IBU: 0
Storm King Imperial Stout,3830,1326,3,43,9.1000003815,0,0,0,"","With a huge, Pacific Northwest hop aroma & character upfront, Storm King subsides into massive, roast malt complexity. More flavor than mere words can adequately describe. Rich and substantial, it will warm your heart.",0,2010-07-22T16:00:00-04:00,American-Style Imperial Stout,North American Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania,United States,"40.0061,-75.6942",http://www.victorybeer.com,40.0061,-75.6942,0,9.1,"Name: Storm King Imperial Stout, Brewery: Victory Brewing, ABV: 9.1, IBU: 0",Name: Storm King Imperial Stout,ABV: 9.1,IBU: 0
